Fecha (UTC),Latitud [º],Longitud [º],Profundidad [km],Magnitud [*]
2020-01-21 04:18:42,-30.73,-71.41,52,3.6
2019-09-10 18:33:01,-30.72,-71.39,50,4.1
2019-04-24 13:00:47,-30.66,-71.38,51,3.4
2019-03-14 08:15:07,-30.66,-71.27,44,3.1
2019-03-09 20:45:43,-31.43,-70.37,139,4.9
2020-01-17 03:51:41,-29.47,-71.28,50,3.2
2019-08-10 17:16:04,-31.77,-71.39,54,4.7
2018-09-04 19:07:20,-29.36,-71.22,32,3.1
2020-01-28 05:09:55,-31.74,-71.38,46,4
2019-05-06 06:32:36,-30.71,-71.39,54,3.6
2019-03-09 15:22:21,-30.7,-71.36,54,4.3
2020-01-18 18:52:13,-29.33,-71.33,56,3.7
2018-12-17 19:39:13,-29.6,-71.27,52,3.6
2019-03-15 14:27:57,-29.59,-71.15,55,3.7
2020-04-23 22:58:46,-31.06,-71.42,63,4.1
2020-05-01 14:30:47,-30.66,-71.31,54,4.3
2019-03-13 21:46:10,-30.71,-71.41,42,4.1
2019-05-11 03:05:55,-30.74,-71.35,37,3.6
2019-01-18 09:32:26,-29.76,-70.77,55,3.5
2019-04-20 23:23:45,-30.86,-71.29,44,4.3
2019-11-25 06:27:30,-30.79,-71.27,43,3.5
2018-11-08 07:33:44,-29.43,-71.17,52,3.8
2019-07-12 09:25:03,-30.72,-71.33,50,4.3
2020-04-06 01:54:38,-29.56,-71.41,59,4.6
2019-11-11 20:52:23,-31.81,-71.31,55,4.2
2019-02-23 23:06:25,-30.99,-71.36,62,3.7
2019-04-20 21:49:48,-29.59,-71.11,34,3.4
2019-06-27 19:49:53,-30.77,-71.38,51,3.8
2019-02-22 05:12:01,-31.36,-71.28,71,3.8
2019-11-04 23:07:12,-31.82,-71.33,56,4.3
2020-01-31 19:28:54,-30.97,-71.33,67,3.9
2019-12-18 18:44:49,-30.02,-71.26,52,4.5
2019-07-07 21:20:38,-30.9,-71.33,55,3.7
2019-04-03 15:14:18,-29.75,-70.9,82,3.8
2019-12-10 22:05:01,-31.83,-71.29,57,4.2
2019-04-11 00:32:23,-29.53,-71.34,58,3.7
2019-11-16 20:43:35,-31.77,-71.36,48,3.9
2019-04-25 09:33:32,-29.66,-71.3,68,3.8
2018-09-11 15:20:55,-31.43,-71.48,36,3.3
2019-03-06 05:14:58,-29.29,-71.16,35,3.9
2019-11-24 21:18:25,-31.79,-71.45,44,4.4
2019-07-29 17:50:21,-31.63,-71.47,56,3.9
2019-09-10 18:33:01,-30.72,-71.39,50,4.1
2019-08-08 06:37:38,-30.33,-71.18,60,4
2019-06-14 12:31:22,-31.0,-71.31,65,3.6
2020-06-11 08:56:30,-30.29,-71.45,55,3.9
2019-04-24 13:00:47,-30.66,-71.38,51,3.4
2020-02-25 14:51:42,-31.3,-71.46,60,3.6
2019-08-10 17:16:04,-31.77,-71.39,54,4.7
2020-06-11 21:53:44,-29.44,-71.14,37,4
2019-03-29 01:07:19,-31.54,-71.35,49,3.5
2019-05-26 01:26:00,-30.4,-71.44,11,3.5
2018-10-19 03:20:27,-31.58,-71.45,46,3.5
2019-11-21 01:36:27,-29.84,-71.22,58,4.4
2019-06-29 04:57:03,-30.21,-71.32,65,4.3
2018-11-27 18:07:42,-29.56,-71.44,41,3.7
2020-04-06 01:00:25,-31.82,-71.39,55,3.9
2019-04-22 11:17:48,-30.2,-71.27,58,3.9
2019-08-31 18:18:13,-30.21,-71.23,70,4.1
2019-02-27 11:26:10,-30.18,-71.28,66,3.6
2020-06-06 07:03:10,-31.02,-71.44,55,3.7
2019-03-13 21:46:10,-30.71,-71.41,42,4.1
2019-11-25 20:40:11,-31.05,-71.27,65,3.8
2019-06-04 17:19:19,-30.3,-71.33,24,3.1
